Organisation Name,NACS Code,Organisation Type,Address1,Address2,Address3,Address4,Address5,PostCode,Telephone Number,NHS.UK users rating,Value  (NHS.UK users rating),Banding Classification  (NHS.UK users rating),Accepting NHS patients by referral only,Value  (Accepting NHS patients by referral only),Banding Classification  (Accepting NHS patients by referral only),Accepting new adult NHS patients,Value  (Accepting new adult NHS patients),Banding Classification  (Accepting new adult NHS patients),Accepting new adult patients entitled to free NHS dental care,Value  (Accepting new adult patients entitled to free NHS dental care),Banding Classification  (Accepting new adult patients entitled to free NHS dental care),Accepting children as new NHS patients,Value  (Accepting children as new NHS patients),Banding Classification  (Accepting children as new NHS patients),Urgent NHS dental appointments,Value  (Urgent NHS dental appointments),Banding Classification  (Urgent NHS dental appointments),Induction loop (Induction loop in place),Car parking (Is there car parking at this organisation?)
Clarence Road Dental Care,V005118,DEN,38 Clarence Road,Chesterfield,,Derbyshire,,S40 1LQ,Tel: 01246 232784,9 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V005118,,,,false,no,,false,no,,false,no,,false,no,,false,no,yes,yes
"Oswald House Dental Practice - formally Winfield, Rose & Woods Dental Surgeons",V004498,DEN,7 Church Street,,Derbyshire,Ashbourne,,DE6 1AE,Tel: 01335 342509,3 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V004498,,,Only by referral from a dental practitioner,true,yes,,false,no,,false,no,,false,no,,true,yes,no,yes
Xen Smiles Limited,V002787,DEN,241 Green Hill Road,Bramley,,Leeds,West Yorkshire,LS13 4AJ,Tel: 0113 2576026,8 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V002787,,,,false,no,,false,no,,false,no,Children up to the age of 18,true,yes,,true,yes,no,no
Indigo Dental,V002747,DEN,,106 Dixon Lane,,Leeds,West Yorkshire,LS12 4AD,Tel: 0113 2632960,16 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V002747,,,,false,no,,false,no,,false,no,,false,no,,false,no,yes,yes
Ainsdale Dental Practice,V007717,DEN,748 Liverpool Road,Ainsdale,Merseyside,,,PR8 3QF,Tel: 01704 579306,2 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V007717,,,,false,no,,false,no,,false,no,,false,no,,false,no,no,yes
New Whittington Family Dental Health Practice,V008339,DEN,2 Crown Close,New Whittington,Chesterfield,Derbyshire,,S43 2AH,Tel: 01246 451595,15 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V008339,,,Only by referral from a dental practitioner,true,yes,,false,no,,false,no,,false,no,,false,no,yes,yes
Woodhouse Dental Practice,V021529,DEN,Woodhouse Dental Practice,15-17 Chapel Street,Woodhouse,Sheffield,South Yorkshire,S13 7JL,Tel: 0114 2692039 (ext. 2692715),11 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V021529,,,,false,no,Adults 18 and over,true,yes,,true,yes,Children up to the age of 18,true,yes,,false,no,yes,no
The Village Dental Practice,V007707,DEN,26 Station Road,Ainsdale,,Southport,Merseyside,PR8 3HS,Tel: 01704 573466,No ratings yet Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V007707,0,0,Only by referral from a dental practitioner,true,yes,,false,no,,false,no,,false,no,,true,yes,yes,yes
Garden Street  Dental Practice,V004960,DEN,4 Garden Street,Darfield,,Barnsley,,S73 9AA,Tel: 01226 756764,4 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V004960,,,Only by referral from a dental practitioner,true,yes,,false,no,,false,no,,false,no,,true,yes,no,yes
WINDMILL DENTAL,V013209,DEN,Unit 1 and 2 Windmill House,277 Tong Road,,Leeds,,LS12 4NQ,Tel: 0113 2798282,7 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V013209,,,,false,no,,false,no,,false,no,,false,no,,false,no,no,yes
The Mount Dental Practice,V001181,DEN,Stratford House,25 Mill Lane,Ryhill,Pontefract,,WF4 2AL,Tel: 01226 722541,1 rating Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V001181,,,,false,no,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,,false,no,yes,yes
"Bupa Dental Care, Beeston",V002526,DEN,87 Old Lane,Beeston,Leeds,W Yorkshire,,LS11 7AB,Tel: 0113 2716400,4 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V002526,,,Only by referral from a dental practitioner,true,yes,,false,no,,false,no,,false,no,,true,yes,no,yes
FairField Dental Surgery,V030022,DEN,2 Fairfield Road,Southport,Merseyside,,,PR8 3LH,,No ratings yet Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V030022,0,0,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,,
Glumangate Dental Practice,V008333,DEN,46 Glumangate,Chesterfield,,Derbyshire,,S40 1TX,Tel: 01246 273089,27 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V008333,,,,false,no,,false,no,,false,no,,false,no,,false,no,no,no
TLC4 Smiles,V013226,DEN,30 Clifton Road,,,Ashbourne,Derbyshire,DE6 1DT,Tel: 01335 348694,7 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V013226,,,,false,no,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,,true,yes,no,no
"mydentist, Broad Lane, Bramley",V000058,DEN,mydentist,280 Broad Lane,Bramley,Leeds,West Yorkshire,LS13 2HS,Tel: 0113 257 8416,12 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V000058,,,,false,no,,false,no,,false,no,,false,no,,false,no,yes,yes
"Cadman, A. J.",V005181,DEN,Hackenthorpe Dental Centre,Main Street,Hackenthorpe,SHEFFIELD,,S12 4LB,Tel: 0114 248 0071,11 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V005181,,,Only by referral from a dental practitioner,true,yes,,false,no,,false,no,,false,no,,true,yes,yes,yes
Lingwell Croft Dental Practice,V011285,DEN,Lingwell Croft Dental Practice,18 Shelldrake Drive,Middleton,Leeds,West Yorkshire,LS10 3NB,Tel: 01132702820,3 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V011285,,,,false,no,,false,no,,false,no,,false,no,,false,no,yes,yes
CHEADLE MJ MR,V006414,DEN,Dental Department,H M Prison Kirkham,Freckleton Road,"Kirkham, PRESTON",Lancashire,PR4 2RN,,No ratings yet Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V006414,0,0,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,,
Whingate Dental Care,V002718,DEN,268 Tong Road,Leeds,W Yorkshire,,,LS12 3BG,Tel: 0113 2638337,15 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V002718,,,,false,no,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,,false,no,yes,yes
Elbow Lane Dental Practice,V007704,DEN,21 Elbow Lane,Liverpool,,Merseyside,,L37 4AB,Tel: 01704 876846,5 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V007704,,,Only by referral from a dental practitioner,true,yes,,false,no,,false,no,,false,no,,true,yes,yes,yes
Darfield Dental Practice,V004966,DEN,16 School Street,Darfield,,Barnsley,South Yorkshire,S73 9ET,Tel: 01226 756677,22 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V004966,,,,false,no,,false,no,,false,no,Children up to the age of 18,true,yes,,true,yes,yes,yes
"mydentist, Old Mill Lane, Formby",V007712,DEN,,52 Old Mill Lane,,Formby,Merseyside,L37 3PF,Tel: 01704 871270,55 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V007712,,,,false,no,,false,no,,false,no,,false,no,,false,no,yes,yes
Chesterfield Orthodontics,V005817,DEN,,South Place,,Chesterfield,,S40 1SZ,Tel: 01246 550033,2 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V005817,,,Only by referral from a dental practitioner,true,yes,,false,no,,false,no,,false,no,,false,no,no,yes
MR NC PATEL,V016949,DEN,8 Effingham Square,Rotherham,South Yorkshire,,,S65 1AP,,No ratings yet Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V016949,0,0,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,,
Orthodontic Centre (uk)Ltd,V283470,DEN,1 EFFINGHAM SQUARE,ROTHERHAM,,,,S65 1AP,,No ratings yet Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V283470,0,0,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,,
"mydentist, Effingham Square, Rotherham",V011873,DEN,,3 Effingham Square,,Rotherham,South Yorkshire,S65 1AP,Tel: 01709 362496,16 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V011873,,,,false,no,Adults 18 and over,true,yes,,true,yes,Children up to the age of 18,true,yes,,false,no,yes,yes
Ivy Cottage Dental Care,V001050,DEN,Ivy Cottage,16 The Crofts,,Rotherham,,S60 2DJ,Tel: 01709382351,10 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V001050,,,,false,no,,false,no,,false,no,,false,no,,true,yes,yes,no
Boyds Dental Practice,V002495,DEN,75 Town Street,Middleton,Leeds,W Yorkshire,,LS10 3NG,Tel: 0113 271 7477,46 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V002495,,,,false,no,,false,no,,false,no,Children up to the age of 18,true,yes,,false,no,no,yes
INFINITY DENTAL CLINIC,V002728,DEN,Infinity Dental Clinic,97 Armley Ridge Road,,Leeds,West Yorkshire,LS12 3PE,Tel: 0113 2633199,10 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V002728,,,Only by referral from a dental practitioner,true,yes,,false,no,,false,no,,false,no,,false,no,yes,yes
Acorn Dental Clinic,V005677,DEN,,"Unit 4, Acorn Business Park",Keighley Road,Skipton,North Yorkshire,BD23 2UE,Tel: 01756709769,172 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V005677,,,Only by referral from a dental practitioner,true,yes,,false,no,,false,no,,false,no,,false,no,,yes
"mydentist, Hall Road, Armley ",V002715,DEN,,4 Hall Road,,Leeds,West Yorkshire,LS12 1XB,Tel: 0113 263 8357,7 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V002715,,,,false,no,,false,no,,false,no,,false,no,,false,no,Data not available,yes
M A Foster Dental Practice,V001053,DEN,3 Highfield,Doncaster Road,,Rotherham,South Yorkshire,S65 1DZ,Tel: 01709 364454,5 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V001053,,,,false,no,,false,no,,false,no,,false,no,,false,no,yes,no
"mydentist, Doncaster Road, Rotherham ",V001055,DEN,,4 Doncaster Road,,Rotherham,,S65 1DZ,Tel: 01709 365174,8 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V001055,,,,false,no,Adults 18 and over,true,yes,,true,yes,Children up to the age of 18,true,yes,,false,no,yes,yes
"Bupa Dental Care, Steeple Grange",V008497,DEN,36 Steeple Grange,Wirksworth,Matlock,Derbyshire,,DE4 4FS,Tel: 01629 822172,2 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V008497,,,Only by referral from a dental practitioner,true,yes,,false,no,,false,no,,false,no,,false,no,yes,yes
Royd House Dental Surgery,V001052,DEN,Doncaster Road,,,Rotherham,,S65 1DY,Tel: 01709 382646,8 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V001052,,,Only by referral from a dental practitioner,true,yes,,false,no,,false,no,,false,no,,true,yes,yes,yes
Chapel Hall Dental Surgery,V008328,DEN,Jawbones Hill,Derby Road,Jawbones Hill,Derbyshire,Derbyshire,S40 2EN,Tel: 01246 277375,16 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V008328,,,Only by referral from a dental practitioner,true,yes,,false,no,,false,no,,false,no,,true,yes,no,yes
Kirkham Dental Care,V000302,DEN,46 Poulton Street,Kirkham,Preston,Lancs,,PR4 2AH,Tel: 01772 684744,6 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V000302,,,,false,no,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,,true,yes,yes,yes
Woodchurch Dental Practice,V007975,DEN,65 Hoole Road,Wirral,Merseyside,,,CH49 8EQ,Tel: 0151 677 6176,5 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V007975,,,,false,no,,false,no,,false,no,,false,no,,false,no,no,yes
RS Nicholson's Dental Surgery,V002365,DEN,27 High Street,Crofton,,Wakefield,,WF4 1NF,Tel: 01924 863018,13 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V002365,,,,false,no,,false,no,,false,no,,false,no,,false,no,yes,yes
Grimethorpe and Shafton Dental Practice,V013563,DEN,Cemetery Road,Grimethorpe,,Barnsley,South Yorkshire,S72 7ND,Tel: 01226 718345,13 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V013563,,,Only by referral from a dental practitioner,true,yes,,false,no,,false,no,,false,no,,true,yes,no,yes
Rotherham NHS Foundation Trust,V014636,DEN,The Rotherham NHS Foundation Tru,Finance Department,Moorgate Road,Rotherham,,S60 2UA,,No ratings yet Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V014636,0,0,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,,
Perfect Smile Clinic (UK) ltd,V183264,DEN,251 NEW ROAD SIDE,HORSFORTH,LEEDS,,,LS18 4DR,,No ratings yet Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V183264,0,0,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,,
Raby Road Dental Centre,V006244,DEN,Raby Road Dental Centre,30 Raby Road,,"Neston, South Wirral",Cheshire,CH64 9UZ,Tel: 0151 336 6844,5 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V006244,,,Only by referral from a dental practitioner,true,yes,,false,no,,false,no,,false,no,,true,yes,yes,yes
Brimington Dental Practice,V008327,DEN,2a Chesterfield Road,Brimington,,Chesterfield,,S43 1AD,Tel: 01246 278204,30 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V008327,,,Only by referral from a dental practitioner,true,yes,,false,no,,false,no,,false,no,,false,no,yes,yes
Leeds City Dental Care,V002589,DEN,159 Beeston Road,Leeds,,West Yorkshire,,LS11 6AW,Tel: 0113 2705020,7 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V002589,,,,false,no,,false,no,,false,no,,false,no,,false,no,yes,yes
Dental Care,V006247,DEN,5 Park Street,Neston,,Cheshire,Cheshire,CH64 3RP,Tel: 0151 336 5555,2 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V006247,,,,false,no,Adults 18 and over,true,yes,,true,yes,Children up to the age of 18,true,yes,,true,yes,no,no
Fitzwilliam Street Dental Care,V001045,DEN,2 Fitzwilliam Street,Wath-upon-Dearne,,Rotherham,,S63 7HF,Tel: 01709 872292,10 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V001045,,,,false,no,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,,true,yes,no,yes
Dr Stefan Andronovici,V002594,DEN,73 Domestic Street,Leeds,,W Yorkshire,,LS11 9NS,Tel: 0113 2448259,4 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V002594,,,,false,no,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,,false,no,no,yes
High Street Dental Care,V005265,DEN,,99 High Street,Mosborough,Shefield,,S20 5AF,Tel: 0114 248 4400,1 rating Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V005265,,,,false,no,Adults 18 and over,true,yes,,true,yes,Children up to the age of 18,true,yes,,true,yes,yes,yes
Upton Dental Practice,V001018,DEN,Upton Dental Practice,5 Church Road,,Upton,,CH49 6JY,Tel: 0151 677 1081,2 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V001018,,,Only by referral from a dental practitioner,true,yes,,false,no,,false,no,,false,no,,false,no,no,yes
R Joseph ,V001048,DEN,Broom Road Dental Care,41 Broom Road,,Rotherham,South Yorkshire,S60 2SW,Tel: 01709 372244,1 rating Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V001048,,,Only by referral from a dental practitioner,true,yes,,false,no,,false,no,,false,no,,false,no,yes,yes
Redcliffe Dental Practice,V006249,DEN,25 Parkgate Road,Neston,Cheshire,,,CH64 9XF,Tel: 0151 336 3012,2 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V006249,,,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,no,yes
Crystal Peaks Dental Centre,V005242,DEN,,15 Peaks Mount,Waterthorpe,SHEFFIELD,,S20 7HZ,Tel: 0114 251 0165,108 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V005242,,,,false,no,,false,no,,false,no,,false,no,,false,no,yes,yes
Coach House Dental Practice,V008498,DEN,Coach House Dental Practice,Coldwell Street,,Wirksworth,Derbyshire,DE4 4FB,Tel: 01629 339600,266 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V008498,,,,false,no,,false,no,,false,no,Children up to the age of 18,true,yes,,false,no,yes,yes
I D Marker and associates,V002574,DEN,Dental Surgery,220 Dewsbury Road,Beeston,Leeds,Yorkshire(West Riding),LS11 6ER,Tel: 0113 270 5314,186 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V002574,,,,false,no,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,,false,no,yes,no
Arrowe Park Dental Practice <1>,V014735,DEN,59 Arrowe Park Road,Upton,Wirral,Merseyside,,CH49 0UG,Tel: 0151 677 3703,2 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V014735,,,,false,no,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,,true,yes,yes,yes
"Khazenifar, S",V005246,DEN,The Harwood Clinic,1 Harwood Gardens,Waterthorpe,SHEFFIELD,,S20 7LE,Tel: 0114 248 9547,4 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V005246,,,,false,no,,false,no,,false,no,,false,no,,false,no,yes,no
Genix Healthcare Beeston,V002593,DEN,2 Lady Pit Lane,Beeston,Leeds,W Yorkshire,West Yorkshire,LS11 6AJ,Tel: 0113 2457672,8 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V002593,,,,false,no,,false,no,,false,no,,false,no,,true,yes,no,no
Horsforth Smile Clinic,V003000,DEN,2 Town Street,Horsforth,,Leeds,,LS18 4RJ,Tel: 0113 2588780,6 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V003000,,,,false,no,,false,no,,false,no,,false,no,,false,no,no,yes
Malpas Dental Surgery,V006020,DEN,Drake House,High Street,Malpas,Cheshire,,SY14 8NR,Tel: 01948 861100,10 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V006020,,,,false,no,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,,false,no,yes,no
Mr South and Mr Giller Dental Surgery,V002955,DEN,327 Kirkstall Road,Leeds,,W Yorkshire,,LS4 2HD,Tel: 0113 2638004,12 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V002955,,,,false,no,,false,no,,false,no,,false,no,,false,no,no,yes
Glenside Dental Practice,V012441,DEN,338 Pensby Road,Heswall,,Wirral,,CH61 9NG,Tel: 0151 648 2628,10 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V012441,,,,false,no,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,,true,yes,yes,no
Maycroft Dental Practice,V007969,DEN,Maycroft,172 Hoylake Road,,Wirral,,CH46 8TQ,Tel: 0151 677 1067,4 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V007969,,,,false,no,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,,true,yes,no,yes
Rawmarsh Dental Practice,V001043,DEN,93 Kilnhurst Road,Rawmarsh,,Rotherham,,S62 5NF,Tel: 01709 525395,6 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V001043,,,,false,no,,false,no,,false,no,,false,no,,false,no,yes,no
"Bupa Dental Care, Eckington",V004368,DEN,2 High Street,Eckington,Sheffield,S Yorkshire,Derbyshire,S21 4DN,Tel: 01246 432994,3 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V004368,,,Only by referral from a dental practitioner,true,yes,,false,no,,false,no,,false,no,,false,no,yes,yes
Orchard Dental Practice,V007986,DEN,15 Orchard Road,Moreton,,Wirral,Merseyside,CH46 8TR,Tel: 0151 677 3255,4 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V007986,,,,false,no,,false,no,,false,no,,false,no,,false,no,no,yes
SPRINGFIELD DENTAL CLINIC,V012146,DEN,2 Springfield Road,Guiseley,Leeds,West Yorkshire,,LS20 8AL,Tel: 01943 884848,302 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V012146,,,,false,no,,false,no,,false,no,,false,no,,false,no,no,yes
"Bupa Dental Care, Guiseley",V003009,DEN,8 The Green,Guiseley,,Leeds,,LS20 9BT,Tel: 01943 877530,No ratings yet Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V003009,0,0,,false,no,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,,true,yes,no,yes
M J Kenyon Dental Practice,V000298,DEN,3 Clifton Street,,,Lytham St Annes,Lancashire,FY8 5EP,Tel: 01253 739109,51 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V000298,,,,false,no,,false,no,,false,no,Children up to the age of 18,true,yes,,false,no,yes,yes
 North Yorkshire Dental Care,V009483,DEN,Skipton Hospital,Keighley Road,,SKIPTON,North Yorkshire,BD23 2RJ,Tel: 01423 557562,No ratings yet Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V009483,0,0,Only by referral from a dental practitioner,true,yes,,false,no,,false,no,,false,no,,false,no,,
Thornhedge Dental Surgery,V007992,DEN,,30 Upton Road,Moreton,Wirral,Merseyside,CH46 0PA,Tel: 01516784048,11 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V007992,,,,false,no,,false,no,,false,no,,false,no,,true,yes,no,yes
Belle Isle Family Dental Practice,V274666,DEN,20 PEPPER ROAD,LEEDS,,,,LS10 2EU,,No ratings yet Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V274666,0,0,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,,
Regency House Dental Practice,V006635,DEN,,Station Road,,Stone,Staffordshire,ST15 8JP,Tel: 01785815818,2 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V006635,,,Only by referral from a dental practitioner,true,yes,,false,no,,false,no,,false,no,,false,no,no,yes
Rocky Lane Dental Practice,V008285,DEN,Rocky Lane Dental Practice,2 Rocky Lane,Heswall,Merseyside,,CH60 0BY,Tel: 0151 342 7574,No ratings yet Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V008285,0,0,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,no,yes
Greasby Dental Centre,V012817,DEN,230 Greasby Road,Greasby,,Wirral,,CH49 2PW,Tel: 0151 678 0199,3 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V012817,,,Only by referral from a dental practitioner,true,yes,,false,no,,false,no,,false,no,,false,no,yes,yes
Belle Vue Dental Practice,V004392,DEN,32 Belle Vue Terrace,Skipton,,N Yorkshire,,BD23 1RU,Tel: 01756 793558,No ratings yet Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V004392,0,0,Only by referral from a dental practitioner,true,yes,,false,no,,false,no,,false,no,,false,no,no,yes
Hunslet Dental Practice,V002479,DEN,Fraternity House,50 Church Street,Hunslet,Leeds,West Yorkshire,LS10 2AR,Tel: 0113 2716623,465 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V002479,,,,false,no,,false,no,,false,no,,false,no,,true,yes,yes,yes
Aesthetic Dental Solutions,V000301,DEN,AESTHETIC DENTAL SOLUTIONS,5 Station Square,,Lytham St Annes,Lancashire,FY8 5PA,Tel: 01253 736146,11 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V000301,,,Only by referral from a dental practitioner,true,yes,,false,no,,false,no,,false,no,,false,no,yes,yes
Stag Dental Care,V001057,DEN,,107 Wickersley Road,,Rotherham,South Yorkshire,S60 3PU,Tel: 01709 363500,8 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V001057,,,Only by referral from a dental practitioner,true,yes,,false,no,,false,no,,false,no,,false,no,,no
Marshall Street Dental Practice,V003004,DEN,2a Marshall Street,Yeadon,,Leeds,,LS19 7SR,Tel: 0113 2508586,3 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V003004,,,,false,no,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,,false,no,no,yes
Moreton Dental Practice,V007985,DEN,322 Hoylake Road,Moreton,Wirral,Merseyside,,CH46 6DE,Tel: 0151 677 2917,3 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V007985,,,Only by referral from a dental practitioner,true,yes,,false,no,,false,no,,false,no,,false,no,,yes
